lwnver:2019-10-10T14:14:21.175510Z
a#0 189640.0000000009 ROOT
a#01132883 1.0
a#02329912 1.0
a#01085602 1.0
a#01095581 1.0
a#00705961 1.0
a#02646589 6.666666666666666
a#00438935 1.0
a#00941343 1.0
a#01310181 1.0
a#02444113 1.0
a#02552057 1.0
a#02548446 1.0
a#02566817 1.0
a#02769442 1.0
a#00862877 1.0
a#01327942 1.0
a#L9639502 1.0
a#01107806 1.0
a#01305744 1.0
a#00659932 1.0
a#00382898 1.0
a#02381427 1.0
a#02188598 1.0
a#00437707 1.0
a#00177629 1.0
a#00314664 1.0
a#02065738 1.0
a#00701326 1.0
a#00439353 1.0
a#02074260 1.0
a#00656813 1.0
a#00545576 1.0
a#00769902 1.0
a#01562738 1.0
a#01876300 1.0
a#01947036 1.0
a#02481137 1.0
a#02773360 1.0
a#01952275 1.0
a#00351078 1.0
a#02065880 1.0
a#01282923 1.0
a#00266341 1.0
a#01376146 1.0
a#01667268 1.0
a#00057580 1.0
a#02441565 1.0
a#02400554 1.3333333333333333
a#00203041 2.0
a#02763111 1.0
a#02807434 1.0
a#01022173 2.0
a#01098918 1.0
a#02629600 1.0
a#02716886 1.0
a#01625075 1.0
a#L5684740 1.0
a#02657210 1.0
a#00690927 1.0
a#01873821 1.0
a#00578649 1.0
a#00041366 1.0
a#01837214 1.0
a#01025755 1.0
a#02678586 1.0
a#00650814 1.0
a#01920017 1.0
a#01787580 391.6666666666667
a#02283766 1.0
a#L6488830 1.0
a#00782769 1.0
a#02073987 1.0
a#01165187 1.0
a#L7567575 1.0
a#02259004 1.0
a#02595665 1.0
a#02165122 1.0
a#02555745 1.0
a#01057467 1.0
a#00583078 1.0
a#00885850 1.0
a#00810300 1.0
a#00658187 1.0
a#02828810 1.0
a#00464434 1.0
a#01883575 1.0
a#00367285 1.0
a#01311905 1.0
a#02470058 1.0
a#00641938 1.0
a#00912659 1.0
a#01083139 1.0
a#01360662 1.0
a#01915027 1.0
a#02072778 1.0
a#00917237 1.0
a#02805998 1.0
a#00200232 1.0
a#00346749 1.0
a#02275649 1.0
a#02833701 1.0
a#01966509 1.0
a#01137865 1.0
a#L3425764 1.0
a#02544246 1.0
a#00014429 4.0
a#02373537 1.0
a#02468827 1.0
a#00539373 1.0
a#00636055 19.166666666666664
a#02545786 1.0
a#01509053 1.0
a#00651550 1.0
a#00612388 1.0
a#02004706 1.0
